rank_tfidf,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_tfidf,idioma
106,opcionempleo::9282923033201,opcionempleo,Gerente de operaciones (Argentina),CONESA EZEQUIEL,Gerente de Operaciones,Argentina,,https://www.opcionempleo.com.ar/jobad/ar0dbbb20c19ae9282923033201cdf1777,0.09660063821643836,es
107,opcionempleo::353191348,opcionempleo,Business Analyst Buenos Aires,TalentCross,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arcbc3cb353191348a259a470bccdc1913,0.09586200622952469,es
108,opcionempleo::jobadar95a1e4b8c3b8edeced6793d532c2c6ca,opcionempleo,Jefe/a de Costos y Control de Gestión (Argentina),Diagnóstico Maipú,Control de Gestión,Argentina,,https://www.opcionempleo.com.ar/jobad/ar95a1e4b8c3b8edeced6793d532c2c6ca,0.09583197821245144,es
109,opcionempleo::149960,opcionempleo,Gerente de Impuestos (Buenos Aires),Prosegur,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar338db790a404ca424f8efc1dda149960,0.09582008778486889,es
110,opcionempleo::1220414,opcionempleo,Gerente de Sistemas (Buenos Aires),GP Consultora,Gerente de Operaciones,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arfbb1220414e9f4e148bcc7dbcb8e0c22,0.09563537924648698,es
111,bumeran::1118118442,bumeran,Control de gestión comercial - EXPERIENCIA EN CONSUMO MASIVO,Confidencial,Control de Gestión,CABA,Presencial,https://www.bumeran.com.ar/empleos/control-de-gestion-comercial-experiencia-en-consumo-masivo-1118118442.html,0.09495969581123649,es
112,bumeran::1118227502,bumeran,Gerente de Administración y Finanzas,Neo-Biz,Finanzas / CAPEX,"Santa Fe, Santa Fe",Presencial,https://www.bumeran.com.ar/empleos/gerente-de-administracion-y-finanzas-neo-biz-1118227502.html,0.09495553197978382,es
113,opcionempleo::056503,opcionempleo,Gerente de Administración y Finanzas,NEO BIZ S. R. L.,Finanzas / CAPEX,Santa Fe,,https://www.opcionempleo.com.ar/jobad/ar73ba026c056503d119a30464cd25df66,0.0945811628324611,es
114,bumeran::1118211274,bumeran,Analista de Compras Sr,Confidencial,Compras / Procurement,CABA,Presencial,https://www.bumeran.com.ar/empleos/analista-de-compras-sr-1118211274.html,0.09377796459532547,es
115,bumeran::1118226628,bumeran,Gerente de Operación Terrestre – Turismo B2B,Darwin Consulting - Evolución Empresarial,Gerente de Operaciones,CABA,Híbrido,https://www.bumeran.com.ar/empleos/gerente-de-operacion-terrestre--turismo-b2b-darwin-consulting-evolucion-empresarial-1118226628.html,0.09346091513547242,es
