rank_tfidf,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_tfidf,idioma
350,linkedin::4365115249,linkedin,Senior Associate - AI Engineering Lead – Intelligent Transformation,PwC Argentina,Machine Learning Engineer,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4365115249,0.052955383506859785,es
351,opcionempleo::96012,opcionempleo,Ref. 21425 Jefe de Desarrollo Desarrollador Senior .NET Belgrano CABA,ADN Recursos Humanos,Desarrollador Full Stack,Argentina,,https://www.opcionempleo.com.ar/jobad/ar6e14cec8deb96012e383e3dc13a1ce4b,0.0528405814418041,es
352,getonboard::full-stack-engineer-senior-prontopaga-santiago,getonboard,Full-Stack Engineer (Senior),,Backend,Chile,Remoto,https://www.getonbrd.com/jobs/full-stack-engineer-senior-prontopaga-santiago,0.052833907433803895,es
353,getonboard::full-stack-engineer-semi-senior-prontopaga-santiago,getonboard,Full-Stack Engineer (Semi Senior),,Backend,Chile,Remoto,https://www.getonbrd.com/jobs/full-stack-engineer-semi-senior-prontopaga-santiago,0.052833907433803895,es
354,getonboard::technical-product-manager-dynamic-devs-santiago-53f9,getonboard,Technical Product Manager,,NLP Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/technical-product-manager-dynamic-devs-santiago-53f9,0.05274287975030425,es
355,opcionempleo::55934178,opcionempleo,Senior Full-Stack Developer,,Desarrollador Full Stack,Argentina,,https://www.opcionempleo.com.ar/jobad/arc55934178e2c87c1d92697e2e9e3d0be,0.05274259093330756,es
356,linkedin::4462338381,linkedin,AI Platform Engineer Sr,Unify,Machine Learning Engineer,Argentina,,https://www.linkedin.com/jobs/view/4462338381,0.05273862980927182,es
357,jobrapido::2151388458319347712,jobrapido,Desarrollador/a Full Stack | IA & Data (Buenos Aires),Importante empresa,Desarrollador Full Stack,CABA,,https://ar.jobrapido.com/jobpreview/2151388458319347712?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F52762028%252Fdesarrollador-a-full-stack-ia-data-buenos-aires&w=Python&p=5,0.052694617254780515,es
358,jobrapido::6981067225482395648,jobrapido,Desarrollador/a Full Stack | IA & Data (Buenos Aires),Empresa líder,Desarrollador Full Stack,CABA,,https://ar.jobrapido.com/jobpreview/6981067225482395648?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F52762193%252Fdesarrollador-a-full-stack-ia-data-buenos-aires&w=Python&p=5,0.052691611552196156,es
359,getonboard::analista-desarrollador-cobol-bc-tecnologia-remote,getonboard,Analista/Desarrollador COBOL,,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/analista-desarrollador-cobol-bc-tecnologia-remote,0.052673179439036,es
360,opcionempleo::53465,opcionempleo,Senior Backend Software Engineer (Buenos Aires),MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ard2c8d17df53465db4fa9c38e8254788e,0.05259932189194482,es
361,opcionempleo::74182,opcionempleo,Senior Backend Software Engineer (Argentina),MercadoLibre,Software Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar318a3c07fdbad700f1e7e74182c00caa,0.0525919269272328,es
