rank_final,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,score_final,similitud_embed,similitud_tfidf,rank_embed,rank_tfidf
621,opcionempleo::jobadar5d411a9fe73a5b871be29ec60ab950d5,opcionempleo,Ref 20595 Desarrollador Python Fastapi Remoto Recoleta,ADN Recursos Humanos,Python Developer,"Recoleta, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar5d411a9fe73a5b871be29ec60ab950d5,0.35163011111630293,0.29850113,0.0248896266843753,513,846
622,getonboard::e-commerce-developer-fullkom-santiago,getonboard,E-commerce Developer,,Backend,Chile,Híbrido,https://www.getonbrd.com/jobs/e-commerce-developer-fullkom-santiago,0.351376757703674,0.2629678,0.0522256969451188,762,372
623,opcionempleo::261954,opcionempleo,"NET Software Engineer (Angular) - Remoto - Argentina, todo el país",Aliantec,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arf1edadbe261954f9b8d54f54a89dd183,0.3513468054672443,0.28216636,0.0373524703473372,629,636
624,opcionempleo::jobadardf8e0aab58c08e46e8cd90fd2fb5397d,opcionempleo,"Ingeniero De Datos Jr. - Etl, Lakehouse, Hybrid",Toyota,Ingeniero de Datos,"Zárate, Provincia de Buenos Aires Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ardf8e0aab58c08e46e8cd90fd2fb5397d,0.3512689062908747,0.2543802,0.058803248455278,825,266
625,getonboard::customer-onboarding-mexico-bsale-ciudad-de-mexico,getonboard,Agente Customer Onboarding CDMX,,NLP Engineer,Mexico,Remoto,https://www.getonbrd.com/jobs/customer-onboarding-mexico-bsale-ciudad-de-mexico,0.35084452357029344,0.28034106,0.0384528037933682,639,620
626,getonboard::backend-ai-engineer-python-llm-orchestration-improving-remote,getonboard,Back-end AI Engineer Python / LLM Orchestration,,Machine Learning,Remoto,Remoto,https://www.getonbrd.com/jobs/backend-ai-engineer-python-llm-orchestration-improving-remote,0.3508325545794481,0.3135816,0.0127259565999253,406,1094
627,opcionempleo::370818,opcionempleo,Desarrollador/A Backend,FindMe,Desarrollador Backend,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/arfdfea8cf82d9d2b370818c35c44ce838,0.3507250084386603,0.29988602,0.023255927386216,508,873
628,opcionempleo::41509,opcionempleo,Ingeniero de Confiabilidad-San Juan,Randstad,Ingeniero de Datos,San Juan,,https://www.opcionempleo.com.ar/jobad/ar47d8aecfe46bfecf44a33f58f4a41509,0.3504594047204409,0.19619605,0.1033196571116904,1188,37
629,opcionempleo::jobadar4ad6506facd7a98e8fb4b225c3729d75,opcionempleo,I-: AI & ML Developer (Argentina),20four7VA,NLP Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar4ad6506facd7a98e8fb4b225c3729d75,0.350191141299353,0.31263426,0.0130605659501184,415,1086
630,getonboard::ingeniero-cloud-aws-promarketing-remote-274d,getonboard,Ingeniero Cloud AWS,,Python Developer,Remoto,Remoto,https://www.getonbrd.com/jobs/ingeniero-cloud-aws-promarketing-remote-274d,0.3498884185598917,0.22882727,0.0777170571698641,1011,110
