rank_optimizado,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,score_optimizado,similitud_tfidf
359,getonboard::analista-desarrollador-cobol-bc-tecnologia-remote,getonboard,Analista/Desarrollador COBOL,,Data Analyst,Remoto,Remoto,https://www.getonbrd.com/jobs/analista-desarrollador-cobol-bc-tecnologia-remote,0.28268743011254216,0.052673179439036
360,opcionempleo::53465,opcionempleo,Senior Backend Software Engineer (Buenos Aires),MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ard2c8d17df53465db4fa9c38e8254788e,0.2822910500116258,0.0525993218919448
361,opcionempleo::74182,opcionempleo,Senior Backend Software Engineer (Argentina),MercadoLibre,Software Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/ar318a3c07fdbad700f1e7e74182c00caa,0.282251362573114,0.0525919269272328
362,opcionempleo::28425,opcionempleo,Data Scientist Sr,Fyg | For Your Growth,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar9732c3dec28425def360a99fdcb3cc4e,0.2822320788176257,0.0525883337829862
363,opcionempleo::62216,opcionempleo,Sr Software Engineer GenAI Security,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arca62216e9f6b596209c96ddf7e60f960,0.2816849968480764,0.052486395940407
364,opcionempleo::8583821476,opcionempleo,Machine Learning Engineer / Data Scientist (Semi-Senior – Senior) (Remote),GreenCode,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arbe3979b120daea8583821476a22eac1f,0.28159111141799964,0.0524689022580626
365,getonboard::ingeniero-backend-java-y-node-js-agilistik-santiago,getonboard,Ingeniero Back-end Java y Node.js,,NLP Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/ingeniero-backend-java-y-node-js-agilistik-santiago,0.2814410103084087,0.0524409339020719
366,linkedin::4451260338,linkedin,Senior Backend Software Engineer,Mercado Libre,Desarrollador Backend,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4451260338,0.2813478743271486,0.0524235798646066
367,jobrapido::8710518820344692736,jobrapido,Desarrollador/A Backend (Rosario),Empresa reconocida,Desarrollador Full Stack,"Rosario, Santa Fe",,https://ar.jobrapido.com/jobpreview/8710518820344692736?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F53367539%252Fdesarrollador-a-backend-rosario&w=Python&p=4,0.28093321137294924,0.052346315671485
368,opcionempleo::2336868,opcionempleo,Cyber Security Software Engineer - Incident Response & Risk,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar0daee0c2ba10b38d6521e2336868f983,0.28066352011343715,0.0522960640699201
369,opcionempleo::10010,opcionempleo,Backend Ai Engineer (Sr) – Python / Langgraph / Azure,Rocket Stars,Python Developer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7debf6fe2c09d40ec16a1e10010b2096,0.28061944205895556,0.0522878510012594
370,getonboard::growth-42labs-santiago,getonboard,Growth Data Analyst,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/growth-42labs-santiago,0.28049256274530915,0.0522642095650196
371,getonboard::product-owner-canales-digitales-bice-vida-santiago-b935,getonboard,Product Owner – Canales Digitales,,Data Analyst,Chile,Híbrido,https://www.getonbrd.com/jobs/product-owner-canales-digitales-bice-vida-santiago-b935,0.2803362266761433,0.0522350794483367
